ticker,weight,has_column,first_date,last_date,full_history
WELL,0.226145,True,2010-01-04,2026-05-29,True
GLW,0.219523,True,2010-01-04,2026-05-29,True
SCHW,0.219453,True,2010-01-04,2026-05-29,True
COP,0.216973,True,2010-01-04,2026-05-29,True
BKNG,0.211094,True,2010-01-04,2026-05-29,True
DE,0.209601,True,2010-01-04,2026-05-29,True
PLD,0.208466,True,2010-01-04,2026-05-29,True
SPGI,0.196361,True,2010-01-04,2026-05-29,True
LOW,0.188582,True,2010-01-04,2026-05-29,True
MO,0.185936,True,2010-01-04,2026-05-29,True
NEM,0.182226,True,2010-01-04,2026-05-29,True
CVS,0.182208,True,2010-01-04,2026-05-29,True
COF,0.180004,True,2010-01-04,2026-05-29,True
BMY,0.17874,True,2010-01-04,2026-05-29,True
CB,0.177111,True,2010-01-04,2026-05-29,True
SBUX,0.176716,True,2010-01-04,2026-05-29,True
PGR,0.175956,True,2010-01-04,2026-05-29,True
DHR,0.175217,True,2010-01-04,2026-05-29,True
VRTX,0.175098,True,2010-01-04,2026-05-29,True
ACN,0.169034,True,2010-01-04,2026-05-29,True
PWR,0.167547,True,2010-01-04,2026-05-29,True
LMT,0.167509,True,2010-01-04,2026-05-29,True
PH,0.165694,True,2010-01-04,2026-05-29,True
SYK,0.163333,True,2010-01-04,2026-05-29,True
EQIX,0.161856,True,2010-01-04,2026-05-29,True
CDNS,0.15702,True,2010-01-04,2026-05-29,True
SO,0.156843,True,2010-01-04,2026-05-29,True
TT,0.15411,True,2010-01-04,2026-05-29,True
CME,0.154035,True,2010-01-04,2026-05-29,True
ADBE,0.152593,True,2010-01-04,2026-05-29,True
MDT,0.149169,True,2010-01-04,2026-05-29,True
BNY,0.148883,True,2010-01-04,2026-05-29,True
DUK,0.148439,True,2010-01-04,2026-05-29,True
FCX,0.146236,True,2010-01-04,2026-05-29,True
MCK,0.142737,True,2010-01-04,2026-05-29,True
CMI,0.142285,True,2010-01-04,2026-05-29,True
SNPS,0.141704,True,2010-01-04,2026-05-29,True
CMCSA,0.139,True,2010-01-04,2026-05-29,True
WMB,0.137474,True,2010-01-04,2026-05-29,True
TMUS,0.137128,True,2010-01-04,2026-05-29,True
FDX,0.136967,True,2010-01-04,2026-05-29,True
PNC,0.136813,True,2010-01-04,2026-05-29,True
ADP,0.136256,True,2010-01-04,2026-05-29,True
GD,0.136249,True,2010-01-04,2026-05-29,True
AMT,0.134758,True,2010-01-04,2026-05-29,True
INTU,0.134128,True,2010-01-04,2026-05-29,True
BX,0.134005,True,2010-01-04,2026-05-29,True
ELV,0.133351,True,2010-01-04,2026-05-29,True
CSX,0.131156,True,2010-01-04,2026-05-29,True
USB,0.130629,True,2010-01-04,2026-05-29,True
MAR,0.130566,True,2010-01-04,2026-05-29,True
ICE,0.129637,True,2010-01-04,2026-05-29,True
JCI,0.128638,True,2010-01-04,2026-05-29,True
SLB,0.127135,True,2010-01-04,2026-05-29,True
FTNT,0.126744,True,2010-01-04,2026-05-29,True
MMM,0.123891,True,2010-01-04,2026-05-29,True
CIEN,0.123553,True,2010-01-04,2026-05-29,True
MDLZ,0.123071,True,2010-01-04,2026-05-29,True
EMR,0.122943,True,2010-01-04,2026-05-29,True
WM,0.122884,True,2010-01-04,2026-05-29,True
MPWR,0.122541,True,2010-01-04,2026-05-29,True
UPS,0.121675,True,2010-01-04,2026-05-29,True
MRSH,0.11888,True,2010-01-04,2026-05-29,True
ORLY,0.115612,True,2010-01-04,2026-05-29,True
CI,0.115265,True,2010-01-04,2026-05-29,True
VLO,0.114935,True,2010-01-04,2026-05-29,True
NOC,0.114889,True,2010-01-04,2026-05-29,True
CL,0.113624,True,2010-01-04,2026-05-29,True
ROST,0.113074,True,2010-01-04,2026-05-29,True
EOG,0.112395,True,2010-01-04,2026-05-29,True
BSX,0.112306,True,2010-01-04,2026-05-29,True
TDG,0.110067,True,2010-01-04,2026-05-29,True
CRH,0.110062,True,2010-01-04,2026-05-29,True
COHR,0.108916,True,2010-01-04,2026-05-29,True
RCL,0.108887,True,2010-01-04,2026-05-29,True
SHW,0.10819,True,2010-01-04,2026-05-29,True
NSC,0.106816,True,2010-01-04,2026-05-29,True
AEP,0.106501,True,2010-01-04,2026-05-29,True
MCO,0.106279,True,2010-01-04,2026-05-29,True
AON,0.105068,True,2010-01-04,2026-05-29,True
MSI,0.104904,True,2010-01-04,2026-05-29,True
WBD,0.10348,True,2010-01-04,2026-05-29,True
